brewery_id,brewery_pure_average,rating_count,brewery_name,beer_count,age_on_service
222958,2.0529953917050685,434,Danilovskaya Pivovarnya (Даниловская Пивоварня),36,4.731853328339041
55892,2.0891719745222934,314,Tagilskoe Pivo (Тагильское Пиво),24,7.369402156464041
28050,2.0917431192660554,327,Bulgarpivo (Булгарпиво),30,8.248176637414383
61582,2.1823770491803276,976,Krop-Pivo (Кроп-Пиво),38,7.229926958476027
112869,2.1835748792270535,207,Альпина (Alpina),45,6.358368337970891
91140,2.2093495934959346,492,Lipetskpivo (Липецкпиво),23,6.651868177440068
37085,2.2173913043478257,2047,Zavod Trehsosensky (Завод Трехсосенский),76,7.901014019691781
403814,2.2565853658536588,1025,Белый Кремль (Bely Kreml),20,1.8902741732662671
140805,2.27946127946128,297,Pivovarenny Zavod Maykopsky (Пивоваренный Завод Майкопский),21,6.021728515625
100720,2.2949640287769784,973,ПБК Крым (Krym),31,6.522648223458904
33116,2.2950859356088107,4131,AB InBev Efes,158,8.043187473244863
47735,2.2995951417004052,494,Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),51,7.586013083261986
41755,2.316000000000001,250,Bryanskpivo (Брянскпиво),45,7.755338318707191
66008,2.3408521303258145,399,Deka (Дека),83,7.124676931720891
64853,2.3489736070381224,682,Lakinsky Pivzavod (Лакинский Пивзавод),60,7.1476134417808215
78690,2.370240187463387,1707,Heineken Brewery (Объединенные Пивоварни Хейнекен),90,6.867907882063356
59072,2.3793466807165427,949,Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),42,7.289150791952054
109110,2.382936507936508,1008,Varnitsa (Варница),59,6.409035878638699
119648,2.3848101265822783,395,Zavod Pivovarenny Morshansky (Завод Пивоваренный Моршанский),24,6.274767899186644
27939,2.38659793814433,194,KOSOUHOFF - by Amarant (Амарант),44,8.253785183005137
999,2.3940644342167907,6301,Baltika Breweries (Балтика),200,9.759337542808218
198718,2.4066985645933014,209,Форштадтская Пивоварня,49,5.2158571008133565
32554,2.408060453400504,397,Hmeleff (Хмелефф),17,8.065277183219179
108032,2.4097859327217126,327,Glazovskiy Pivovarennyi Zavod (Глазовский Пивоваренный Завод),4,6.422161948844178
5585,2.4157223796033995,1412,Ochakovo (Очаково),87,9.170924523758561
277886,2.43361581920904,708,Demidov Brewery (Демидовские пивоварни),18,4.057782400470891
70612,2.4451410658307204,1276,Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),43,7.021409460616439
30700,2.47682639434407,1273,Vyatich (Вятич),74,8.144275738441781
366326,2.510752688172043,186,Craft Beer Master,22,2.7147863936750856
245758,2.534170153417015,717,Объединенные Пензенские Водочные Заводы,13,4.515999237478596
44177,2.573289902280129,1228,Tomskoe Pivo (Томское Пиво),38,7.681763029751712
26951,2.57516339869281,1071,Buket Chuvashii (Букет Чувашии),37,8.292251043450342
265476,2.5818965517241383,232,Бородино / ПК Возрождение,12,4.214746428189212
310200,2.616519174041298,339,ЛЭП (Лаборатория Экспериментального Пивоварения),20,3.620683393086473
356645,2.630676949443016,2334,Gorkovskaya Brewery (Горьковская пивоварня),20,2.900506675406678
136488,2.7194244604316538,417,ПЗ Канцлеръ,59,6.074272260273973
10498,2.7480592801693717,1417,Afanasy (Афанасий),84,9.27049042166096
7165,2.7712609970674484,4433,Moscow Brewing Company (Московская Пивоваренная Компания),82,8.955167754708905
88050,2.7892376681614346,446,Мастер-Продукт-Алтай (Master-Product-Altay),26,6.700812018407534
126815,2.7913043478260873,230,Хадыженский Пивзавод,6,6.189675861515411
304237,2.813186813186813,182,Telmann,18,3.7093114565496577
81986,2.8182648401826484,1095,Craft Brew Riots,59,6.7975572559931505
420575,2.831006259027444,2077,ТАРКОС (TARKOS),37,1.3909293396832192
33381,2.831775700934579,321,Malz & Hopfen,61,8.028514956121576
386832,2.847736625514403,243,Poet Brewery&Bar (Поэт – пивоварня и бар),34,2.270579382491438
69006,2.8655256723716374,409,Пивоварня Кожевниково (Kozhevnikovo Brewery),52,7.056899480950342
417280,2.894366197183099,284,True House,9,1.5252922998715754
310155,2.8999999999999995,260,Pivzavod77 Brewery & Pub,35,3.6209669975385275
402617,2.9136490250696383,718,Hammermill Brewery (Бутлегер),26,1.917467258401113
348857,2.9189627228525117,617,Cider House (ТД Фонте),32,3.0224044172731164
267556,2.925,240,Los Pivnos Brewery,33,4.189989899935788
396909,2.9277108433734944,498,Пивоварня Якорь,42,2.0488040453767122
393191,2.928571428571428,336,Rainbow Fish Brewery,28,2.139007484749572
404198,2.9302325581395348,215,Great River,18,1.8760023143193494
178194,2.930555555555556,216,Wooden Beard Brewery,43,5.523394691780822
222727,2.933673469387755,196,Jonathan Brewpub,85,4.867135996361301
203609,2.942028985507246,207,Stary Zavod (Старый Завод),28,5.148217104559075
343307,2.955128205128205,156,Barbudos,35,3.110085014447774
30331,2.9606299212598426,254,Пивоварня Мюнхель (Münhell Brewery),29,8.16057563677226
285420,2.9696629213483154,890,Crazy Brew,19,3.960600719713185
