НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Lovecraft Weird Brewery,Kazan,5.0,–,1
Токсовская Сидрерия (On The Bones),Kazan,4.5,–,1
4BREWERS,Казань,4.44,–,4
Pivot Point,Kazan,4.38,↑ +15,2
Black Cat Brewery,Казань,4.25,–,1
Appleton Ciders,Казань,4.25,↑ +22,1
Wild Lab,Казань,4.25,↓ -2,1
Paradox,Kazan,4.25,–,4
Zagovor Brewery,Казань,4.21,–,7
Konix Brewery,Казань,4.15,–,5
DIETA / ДИЕТА,Kazan,4.12,–,2
Time Bomb Brewery,Kazan,4.12,–,2
Cosmic City,Казань,4.12,–,6
Steppe & Wind Meadery (Степь и Ветер),Казань,4.06,↓ -8,4
Samovar Brew,Kazan,4.03,↓ -6,8
AF Brew,Kazan,4.0,–,7
Jaws Brewery,Kazan,4.0,–,5
Panzer Brewery,Kazan,4.0,↓ -4,1
Appleton Ciders,Kazan,4.0,↑ +9,1
Plan B Brewery,Казань,4.0,–,1
Brewerich,Казань,4.0,↑ +12,1
Bakunin Brewing Co.,Kazan,4.0,–,1
DIETA / ДИЕТА,Казань,4.0,–,1
Double A Brewing,Казань,4.0,–,1
Salden's Brewery,Казань,4.0,–,3
Gletcher Brewery (Глетчер),Казань,3.94,–,4
Пивоварня Чаща / Thicket Brewery,Казань,3.92,↓ -12,9
BANDARLOG Brewery,Казань,3.88,–,2
Brewlok Brewery,Казань,3.88,–,10
Zagovor Brewery,Kazan,3.83,–,6
Brew Barrel,Казань,3.82,↓ -13,7
Jaws Brewery,Казань,3.78,–,22
Bakunin Brewing Co.,Казань,3.75,–,2
LiS Brew,Казань,3.75,–,1
Sabotage,Kazan,3.75,↓ -34,2
Oh No Cidrerie,Kazan,3.75,–,1
Lux In Tenebris,Kazan,3.75,–,4
Заповедник,Казань,3.75,–,1
Selfmade Brewery,Казань,3.75,–,1
Yablochny Spas (Яблочный Спас),Kazan,3.75,–,1
Ashram Cider,Казань,3.75,–,1
AF Brew,Казань,3.72,–,8
Hophead Brewery,Казань,3.58,↓ -40,6
Salden's Brewery,Kazan,3.55,–,15
CHIBIS Brewery,Казань,3.5,↓ -19,1
BANDARLOG Brewery,Kazan,3.5,–,1
Медоварня Традиции Предков,Казань,3.5,–,1
MANFAS Brewery,Казань,3.5,↓ -38,1
Hausmann Brewery,Казань,3.5,–,1
Baltika Breweries (Балтика),Казань,3.5,–,1
Gorkovskaya Brewery (Горьковская пивоварня),Казань,3.5,–,1
Augustine (Августин),Казань,3.42,–,3
Rewort Brewery,Kazan,3.0,–,1
Pivot Point,Казань,3.0,↓ -35,1
Suzdal Brewery (Суздальская Пивоварня),Казань,3.0,–,1
Заповедник,Kazan,2.75,–,1
Moscow Brewing Company (Московская Пивоваренная Компания),Казань,2.5,–,2
Белый Кремль (Bely Kreml),Казань,2.35,↓ -26,5
Petzold Brewpub,Казань,2.28,↓ -52,10
Steppe & Wind Meadery (Степь и Ветер),Kazan,2.0,↓ -54,2
Hophead Brewery,Kazan,1.81,↓ -58,4
Gletcher Brewery (Глетчер),Kazan,0.0,–,1
