НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Лось и Кедр (Moose & Cedar),Краснодар,5.0,↑ +1,1
Та-Та,Краснодар,5.0,↑ +7,1
CHIBIS Brewery,Krasnodar,5.0,↑ +20,1
Cider House (ТД Фонте),Краснодар,4.62,–,2
4BREWERS,Krasnodar,4.58,–,3
Bakunin Brewing Co.,Krasnodar,4.5,–,2
DIETA / ДИЕТА,Краснодар,4.5,–,2
Hausmann Brewery,Краснодар,4.5,–,1
Konix Brewery,Krasnodar,4.5,–,1
Wolf's Brewery (Волковская Пивоварня),Краснодар,4.5,–,1
Double A Brewing,Краснодар,4.38,↑ +33,2
Moscow Brewing Company (Московская Пивоваренная Компания),Краснодар,4.33,–,3
FFF BREW,Krasnodar,4.25,–,1
Steppe & Wind Meadery (Степь и Ветер),Краснодар,4.25,↓ -2,4
Alaska Brewery,Krasnodar,4.25,–,1
Atmosphere Brewery,Krasnodar,4.25,–,1
MANFAS Brewery,Краснодар,4.17,↑ +9,3
Oka River,Краснодар,4.08,↑ +6,3
Stamm Brewing,Krasnodar,4.08,–,3
Zavod,Krasnodar,4.0,↑ +16,1
Bakunin Brewing Co.,Краснодар,4.0,–,2
Konix Brewery,Краснодар,4.0,–,1
Lovecraft Weird Brewery,Krasnodar,4.0,–,1
AF Brew,Krasnodar,4.0,–,1
BrewT!,Краснодар,4.0,–,1
GUSI,Krasnodar,4.0,–,1
Plan B Brewery,Krasnodar,4.0,↓ -20,2
Brew Division,Краснодар,4.0,↓ -7,1
Ostrovica,Краснодар,4.0,↓ -14,2
Big Village Brewery,Краснодар,3.97,↓ -11,73
Red Button Brewery,Краснодар,3.93,–,7
Wild Lab,Краснодар,3.92,↓ -29,3
Rewort Brewery,Краснодар,3.92,–,3
Bottle Share,Краснодар,3.88,↓ -33,2
Ashram Cider,Краснодар,3.75,↑ +6,1
Gletcher Brewery (Глетчер),Краснодар,3.75,–,4
Brewmen,Краснодар,3.75,–,1
Jaws Brewery,Краснодар,3.75,–,5
Trigger,Краснодар,3.75,–,1
Lovecraft Weird Brewery,Краснодар,3.66,–,11
Zagovor Brewery,Krasnodar,3.62,–,2
Panzer Brewery,Краснодар,3.62,–,2
COVEN Brewery,Краснодар,3.58,↓ -15,3
Токсовская Сидрерия (On The Bones),Краснодар,3.5,–,1
Selfmade Brewery,Краснодар,3.45,–,22
Plan B Brewery,Краснодар,3.42,↓ -39,13
4BREWERS,Краснодар,3.37,–,30
Hophead Brewery,Краснодар,3.31,–,8
Krop-Pivo (Кроп-Пиво),Краснодар,3.25,↓ -20,1
COVEN Brewery,Krasnodar,3.25,↓ -22,1
Salden's Brewery,Краснодар,3.17,–,9
Zagovor Brewery,Краснодар,3.12,–,19
Brewlok Brewery,Краснодар,3.02,–,10
Gorkovskaya Brewery (Горьковская пивоварня),Krasnodar,3.0,–,1
Symbiotica by AF Brew × BSG,Краснодар,3.0,↓ -35,1
XP Brew,Краснодар,2.98,–,12
AF Brew,Краснодар,2.91,–,8
Zavod,Краснодар,2.9,↓ -22,5
Black Cat Brewery,Краснодар,2.88,↓ -49,8
ТАРКОС (TARKOS),Краснодар,2.75,↓ -23,2
Хадыженский Пивзавод,Краснодар,2.75,↓ -36,1
Пивоварня Чаща / Thicket Brewery,Краснодар,2.73,↓ -46,15
Stamm Brewing,Краснодар,2.5,–,3
Sabotage,Краснодар,2.5,↓ -56,1
Brew Fiction,Краснодар,2.2,–,5
Big Village Brewery,Krasnodar,1.75,↓ -47,1
Пивоварня Якорь,Краснодар,1.33,↓ -62,3
Circada,Краснодар,0.0,–,2
DaDa Cider,Краснодар,0.0,↓ -38,1
Paradox,Краснодар,0.0,↓ -36,2
