НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Selfmade Brewery,Курск,4.15,↑ +1,10
Plan B Brewery,Курск,4.12,–,2
Та-Та,Курск,4.0,–,3
Заповедник,Курск,4.0,↑ +25,1
LaBEERint Brewery,Курск,4.0,↑ +12,1
Bottle Share,Курск,4.0,↑ +12,5
Red Button Brewery,Курск,4.0,↑ +16,2
DaLi Brewery,Курск,3.97,↓ -5,8
AF Brew,Курск,3.92,↑ +5,9
4BREWERS,Курск,3.85,↑ +2,39
Jaws Brewery,Курск,3.75,↓ -4,5
Gorkovskaya Brewery (Горьковская пивоварня),Курск,3.75,–,1
Velka Morava,Курск,3.75,↑ +2,1
Crazy Brew,Курск,3.68,↑ +6,18
Bakunin Brewing Co.,Курск,3.67,↓ -2,6
Nuclear Brewery,Курск,3.6,↑ +3,21
Heartly Brewery,Курск,3.58,↑ +13,3
Courage Brewery,Курск,3.55,↑ +13,5
Alaska Brewery,Курск,3.5,–,1
Pike Season Brewery,Курск,3.4,↓ -19,10
Пивоварня Чаща / Thicket Brewery,Курск,3.38,↑ +7,2
Solbirs Brewery,Курск,3.25,↓ -1,13
Green Street Brewery,Курск,3.25,↑ +1,2
XP Brew,Курск,3.0,–,2
Wolf's Brewery (Волковская Пивоварня),Курск,3.0,–,1
Пивоварня Якорь,Курск,2.75,↓ -4,2
Bryanskpivo (Брянскпиво),Курск,1.75,–,1
Zavod Trehsosensky (Завод Трехсосенский),Курск,0.25,–,1
