НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Cider House (ТД Фонте),Москва,4.5,↑ +155,1
Prokhoroff,Москва,4.5,–,4
Dogma,Москва,4.5,↑ +70,2
Samovar Brew,Москва,4.46,↑ +4,63
Loki Bryggeri,Москва,4.38,–,2
Nuclear Brewery,Москва,4.38,↑ +34,6
Rocket City Brewery,Moscow,4.38,–,2
Steppe & Wind Meadery (Степь и Ветер),Москва,4.27,↓ -1,52
Courage Brewery,Moscow,4.25,↑ +88,1
Oka River,Москва,4.25,–,7
Пётр Петрович (Petr Petrovich),Moscow,4.25,↓ -2,2
Hausmann Brewery,Moscow,4.25,↑ +73,1
Gravity Project,Москва,4.25,↑ +1,11
Rock'n'Beer,Москва,4.21,↑ +39,6
Double A Brewing,Москва,4.14,↓ -5,9
Пётр Петрович (Petr Petrovich),Москва,4.12,↓ -7,4
GAS Brew,Москва,4.11,↑ +162,16
DaLi Brewery,Москва,4.08,↑ +110,3
Bullevie,Москва,4.08,↑ +102,10
DaDa Cider,Москва,4.07,–,17
Sabotage,Moscow,4.04,↑ +13,12
Pike Season Brewery,Москва,4.03,↑ +14,9
4BREWERS,Москва,4.02,–,145
Wild Lab,Moscow,4.01,–,20
Black Cat Brewery,Москва,4.01,–,76
Zagovor Brewery,Moscow,4.01,–,191
Selfmade Brewery,Moscow,4.0,–,10
4BREWERS,Moscow,4.0,–,1
Black Cat Brewery,Moscow,4.0,–,13
Black Head Brew,Москва,4.0,↑ +60,7
Applehead,Moscow,4.0,–,1
Big Village Brewery,Moscow,4.0,↑ +85,59
Заповедник,Moscow,4.0,↑ +30,1
Мастер-Продукт-Алтай (Master-Product-Altay),Москва,4.0,↑ +100,1
Vladimirskaya Pivovarnya (Владимирская Пивоварня),Москва,4.0,–,1
Applehead,Москва,4.0,–,2
Ame Wild Freaks,Москва,4.0,–,1
Wild Lab,Москва,3.99,–,44
Red Button Brewery,Москва,3.98,–,105
Та-Та,Москва,3.98,–,11
Пивная Диета (Beer Diet),Москва,3.96,↑ +48,30
ID Brewery,Москва,3.96,↑ +24,12
DIETA / ДИЕТА,Moscow,3.94,–,27
