НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
DaDa Cider,Пермь,5.0,↑ +4,1
Salden's Brewery,Пермь,4.62,–,2
Time Bomb Brewery,Пермь,4.5,–,2
XP Brew,Пермь,4.25,–,1
Sabotage,Perm,4.25,↑ +10,2
Steppe & Wind Meadery (Степь и Ветер),Пермь,4.25,↓ -3,2
Zagovor Brewery,Пермь,4.19,–,25
Bakunin Brewing Co.,Пермь,4.17,–,3
Wild Lab,Пермь,4.12,–,2
Black Cat Brewery,Пермь,4.08,–,3
4BREWERS,Пермь,4.08,–,3
Oka River,Пермь,4.05,↓ -11,5
Konix Brewery,Пермь,4.0,–,1
Big Village Brewery,Пермь,4.0,–,12
Jaws Brewery,Пермь,4.0,–,8
Bottle Share,Пермь,4.0,–,2
Stamm Brewing,Пермь,3.96,–,7
Sabotage,Пермь,3.94,↓ -3,20
Пивная Диета (Beer Diet),Пермь,3.88,–,2
DIETA / ДИЕТА,Пермь,3.75,–,2
Hophead Brewery,Пермь,3.75,–,3
Moscow Brewing Company (Московская Пивоваренная Компания),Пермь,3.75,–,1
New Riga's Brewery,Пермь,3.75,–,1
Cosmic City,Пермь,3.69,↓ -18,4
AF Brew,Пермь,3.65,–,13
Gletcher Brewery (Глетчер),Пермь,3.65,↓ -22,5
Zavod,Пермь,3.62,–,2
Gubaha Brewery (Губахинская Пивоварня),Пермь,3.5,↓ -15,3
Red Button Brewery,Пермь,3.21,–,6
Rock'n'Beer,Пермь,3.0,–,1
Hausmann Brewery,Пермь,2.96,–,6
ALIBI Brewery,Пермь,2.5,–,1
LiS Brew,Пермь,1.92,–,6
Wolf's Brewery (Волковская Пивоварня),Пермь,0.0,–,1
Rewort Brewery,Пермь,0.0,–,1
