НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Cosmic City,Ростов-на-Дону,4.58,↑ +4,3
Steppe & Wind Meadery (Степь и Ветер),Ростов-на-Дону,4.5,↑ +4,6
Bottle Share,Ростов-на-Дону,4.31,↑ +8,8
Oh No Cidrerie,Ростов-на-Дону,4.25,–,1
Wild Lab,Ростов-на-Дону,4.17,–,3
Zagovor Brewery,Ростов-на-Дону,4.17,–,6
Big Village Brewery,Ростов-на-Дону,4.15,–,31
Plan B Brewery,Ростов-на-Дону,4.12,↓ -6,2
Konix Brewery,Ростов-на-Дону,4.12,–,4
Red Button Brewery,Ростов-на-Дону,4.12,↓ -2,4
Time Bomb Brewery,Ростов-на-Дону,4.08,–,6
Brew Division,Ростов-на-Дону,4.0,↑ +5,1
Пивоварня Чаща / Thicket Brewery,Ростов-на-Дону,4.0,–,1
4BREWERS,Ростов-на-Дону,4.0,–,19
Lovecraft Weird Brewery,Ростов-на-Дону,4.0,–,1
Panzer Brewery,Ростов-на-Дону,3.92,↓ -2,3
DIETA / ДИЕТА,Ростов-на-Дону,3.92,–,3
Alaska Brewery,Ростов-на-Дону,3.86,–,7
Selfmade Brewery,Ростов-на-Дону,3.84,–,8
COVEN Brewery,Ростов-на-Дону,3.75,–,2
Brewlok Brewery,Ростов-на-Дону,3.75,–,1
Velka Morava,Ростов-на-Дону,3.75,–,1
Brewmen,Ростов-на-Дону,3.75,↓ -10,2
Hausmann Brewery,Ростов-на-Дону,3.75,↓ -17,1
Brew Fiction,Ростов-на-Дону,3.75,–,2
Hophead Brewery,Ростов-на-Дону,3.69,–,4
Paradox,Ростов-на-Дону,3.62,–,2
Rewort Brewery,Ростов-на-Дону,3.56,–,4
Jaws Brewery,Ростов-на-Дону,3.54,–,19
Tomskoe Pivo (Томское Пиво),Ростов-на-Дону,3.5,–,1
Circada,Ростов-на-Дону,3.5,–,1
Stamm Brewing,Ростов-на-Дону,3.29,–,7
AF Brew,Ростов-на-Дону,3.13,–,13
Salden's Brewery,Ростов-на-Дону,3.02,–,10
AB InBev Efes,Ростов-на-Дону,3.0,–,1
Pivovarenny Dom Bavaria (Пивоваренный Дом Бавария),Ростов-на-Дону,3.0,–,1
Токсовская Сидрерия (On The Bones),Ростов-на-Дону,2.62,–,2
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Ростов-на-Дону,2.62,–,2
Victory Art Brew,Ростов-на-Дону,0.5,–,1
