НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Appleton Ciders,Санкт-Петербург,4.67,↑ +41,3
Zavod,Saint Petersburg,4.5,–,1
ID Jons,Санкт-Петербург,4.5,↑ +146,1
Double A Brewing,Санкт-Петербург,4.38,↑ +39,2
Hophead Brewery,Saint Petersburg,4.38,↑ +48,2
Double A Brewing,Saint Petersburg,4.33,↑ +37,3
Red Button Brewery,Saint Petersburg,4.3,↑ +18,16
Cosmic City,Saint Petersburg,4.25,–,1
COVEN Brewery,Saint Petersburg,4.25,–,1
Jokikylä Brewers And Cider Makers,Санкт-Петербург,4.25,↑ +90,6
Oh No Cidrerie,Saint Petersburg,4.25,↓ -7,2
DIETA / ДИЕТА,Saint Petersburg,4.25,–,13
Augustine (Августин),Санкт-Петербург,4.25,–,1
Brewlok Brewery,Saint Petersburg,4.24,–,18
Ame Wild Freaks,Санкт-Петербург,4.19,–,36
Chester's,Санкт-Петербург,4.12,↑ +140,2
XP Brew,Санкт-Петербург,4.12,–,37
Пивная Диета (Beer Diet),Saint Petersburg,4.11,–,9
Big Village Brewery,Санкт-Петербург,4.07,–,72
Wild Lab,Saint Petersburg,4.06,–,13
Oka River,Санкт-Петербург,4.06,↑ +141,27
Stamm Brewing,Saint Petersburg,4.05,–,55
Bottle Share,Санкт-Петербург,4.04,–,28
Та-Та,Санкт-Петербург,4.04,↓ -21,29
Rubinstein Brewery,Санкт-Петербург,4.0,–,1
DARKSIDE,Санкт-Петербург,4.0,↑ +107,1
Black Cat Brewery,Санкт-Петербург,4.0,↑ +68,11
IsKra Brewery,Санкт-Петербург,4.0,↓ -16,1
Stary Zavod (Старый Завод),Санкт-Петербург,4.0,–,1
Loki Bryggeri,Санкт-Петербург,4.0,↑ +149,1
Заря,Санкт-Петербург,4.0,–,1
Pike Season Brewery,Санкт-Петербург,4.0,↑ +52,5
Oka River,Saint Petersburg,4.0,↑ +129,1
"Grenader Brewery (ООО ""Малоярославецкая пивоваренная компания"")",Санкт-Петербург,4.0,–,1
Wild Lab,Санкт-Петербург,3.98,–,41
Circada,Санкт-Петербург,3.97,–,15
Red Button Brewery,Санкт-Петербург,3.96,↓ -12,90
DIETA / ДИЕТА,Санкт-Петербург,3.96,–,64
Steppe & Wind Meadery (Степь и Ветер),Санкт-Петербург,3.96,↓ -8,92
Zagovor Brewery,Санкт-Петербург,3.96,–,250
Bullevie,Saint Petersburg,3.96,↑ +68,6
4BREWERS,Санкт-Петербург,3.96,–,184
GAS Brew,Saint Petersburg,3.94,↓ -4,38
Applehead,Санкт-Петербург,3.93,–,37
Brewerich,Санкт-Петербург,3.9,–,5
Big Village Brewery,Saint Petersburg,3.89,–,35
Paradox,Saint Petersburg,3.88,–,12
BrewT!,Санкт-Петербург,3.87,–,69
Hophead Brewery,Санкт-Петербург,3.87,↑ +4,114
Lovecraft Weird Brewery,Санкт-Петербург,3.87,↓ -14,30
Zagovor Brewery,Saint Petersburg,3.87,–,43
Brewlok Brewery,Санкт-Петербург,3.86,–,186
Медоварня Традиции Предков,Санкт-Петербург,3.86,–,36
Symbiotica by AF Brew × BSG,Санкт-Петербург,3.86,↑ +20,103
Plan B Brewery,Saint Petersburg,3.85,–,27
GAS Brew,Санкт-Петербург,3.85,↓ -17,287
Hausmann Brewery,Saint Petersburg,3.85,↑ +8,5
Gravity Project,Saint Petersburg,3.85,–,15
Пивоварня Мюнхель (Münhell Brewery),Санкт-Петербург,3.84,↑ +119,8
Stamm Brewing,Санкт-Петербург,3.84,–,205
XP Brew,Saint Petersburg,3.84,–,14
Bullevie,Санкт-Петербург,3.84,↑ +47,45
Cosmic City,Санкт-Петербург,3.84,–,17
Time Bomb Brewery,Санкт-Петербург,3.83,↓ -23,31
Snowcap Brewing,Saint Petersburg,3.82,↓ -20,11
Velka Morava,Saint Petersburg,3.82,–,19
Sabotage,Санкт-Петербург,3.81,–,73
Ostrovica,Санкт-Петербург,3.79,–,145
Paradox,Санкт-Петербург,3.79,–,134
One Ton Brewery (Пивоварня Одна Тонна),Санкт-Петербург,3.79,↑ +41,19
DaDa Cider,Санкт-Петербург,3.79,↑ +7,13
AF Brew,Saint Petersburg,3.78,–,20
Velka Morava,Санкт-Петербург,3.77,–,39
Bowl Cut Brewery,Санкт-Петербург,3.77,–,87
Gravity Project,Санкт-Петербург,3.75,–,84
Bulgarpivo (Булгарпиво),Санкт-Петербург,3.75,–,1
ТАРКОС BREWLAB,Санкт-Петербург,3.75,–,1
LaBEERint Brewery,Saint Petersburg,3.75,–,1
Salden's Brewery,Saint Petersburg,3.75,–,14
Solbirs Brewery,Санкт-Петербург,3.75,–,3
FFF BREW,Saint Petersburg,3.75,↓ -31,1
Токсовская Сидрерия (On The Bones),Saint Petersburg,3.75,–,5
Hammermill Brewery (Бутлегер),Санкт-Петербург,3.75,–,1
4BREWERS,Saint Petersburg,3.75,–,17
Лось и Кедр (Moose & Cedar),Санкт-Петербург,3.74,↓ -30,50
Заповедник,Санкт-Петербург,3.74,↓ -17,38
Knightberg,Санкт-Петербург,3.74,↑ +2,69
Salden's Brewery,Санкт-Петербург,3.73,–,126
Medovarus,Санкт-Петербург,3.72,↑ +72,9
Selfmade Brewery,Санкт-Петербург,3.72,–,154
LiS Brew,Санкт-Петербург,3.71,–,104
AF Brew,Санкт-Петербург,3.7,–,789
Пивная Диета (Beer Diet),Санкт-Петербург,3.7,–,21
Токсовская Сидрерия (On The Bones),Санкт-Петербург,3.69,–,205
Pivot Point,Санкт-Петербург,3.69,↑ +18,20
Circada,Saint Petersburg,3.68,–,15
Snowcap Brewing,Санкт-Петербург,3.68,↓ -52,69
Bakunin Brewing Co.,Saint Petersburg,3.68,–,10
Jaws Brewery,Санкт-Петербург,3.67,–,173
Rock'n'Beer,Санкт-Петербург,3.67,↑ +32,66
Konix Brewery,Санкт-Петербург,3.66,–,69
Bowl Cut Brewery,Saint Petersburg,3.66,–,8
Samovar Brew,Санкт-Петербург,3.65,–,5
Rubinstein Brewery,Saint Petersburg,3.64,–,7
Brew Fiction,Санкт-Петербург,3.64,↑ +5,47
RMBrew,Санкт-Петербург,3.64,↓ -78,38
Dreamteam Brewing Co,Санкт-Петербург,3.63,↓ -36,52
Dogma,Санкт-Петербург,3.62,–,2
Telmann,Санкт-Петербург,3.62,↓ -26,6
Plan B Brewery,Санкт-Петербург,3.62,–,99
New Riga's Brewery,Санкт-Петербург,3.6,–,77
CHIBIS Brewery,Санкт-Петербург,3.6,↓ -7,18
Karl & Friedrich (Карл и Фридрих),Санкт-Петербург,3.58,↓ -5,16
Courage Brewery,Санкт-Петербург,3.58,↑ +5,23
Yablochny Spas (Яблочный Спас),Санкт-Петербург,3.57,↑ +35,14
Alaska Brewery,Санкт-Петербург,3.57,–,44
FFF BREW,Санкт-Петербург,3.56,↓ -67,41
084Brewery,Санкт-Петербург,3.55,↑ +28,20
Brew Division,Санкт-Петербург,3.55,–,89
Rewort Brewery,Санкт-Петербург,3.55,–,110
Khoffner Brewery,Санкт-Петербург,3.54,–,6
Hausmann Brewery,Санкт-Петербург,3.53,↓ -57,71
Bakunin Brewing Co.,Санкт-Петербург,3.52,–,297
Green Street Brewery,Санкт-Петербург,3.51,–,42
Wolf's Brewery (Волковская Пивоварня),Санкт-Петербург,3.5,↓ -22,50
Craab,Санкт-Петербург,3.5,↓ -116,5
Lipetskpivo (Липецкпиво),Санкт-Петербург,3.5,↑ +50,2
Brew Division,Saint Petersburg,3.5,–,8
Крафт Лаборатория,Санкт-Петербург,3.5,↑ +9,1
Пивоварня Империал,Санкт-Петербург,3.5,–,1
BrewT!,Saint Petersburg,3.5,–,2
Пинта,Санкт-Петербург,3.5,–,1
Medovarus,Saint Petersburg,3.5,↑ +28,1
GOD'S,Санкт-Петербург,3.5,↓ -74,1
Crazy Craft,Санкт-Петербург,3.5,↓ -119,2
Ashram Cider,Санкт-Петербург,3.5,–,1
GUSI,Санкт-Петербург,3.5,↓ -7,1
SVOI Brewing,Санкт-Петербург,3.5,–,1
Rustique Pivasique,Saint Petersburg,3.5,↓ -124,1
Пинта Мёбиуса (Mobius Pint),Санкт-Петербург,3.49,–,53
Brewmen,Санкт-Петербург,3.49,↓ -61,58
Atmosphere Brewery,Санкт-Петербург,3.48,↓ -55,43
