НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Selfmade Brewery,Тула,4.5,↑ +8,3
Wolf's Brewery (Волковская Пивоварня),Тула,4.0,–,1
AF Brew,Тула,4.0,–,5
Stamm Brewing,Тула,4.0,↓ -3,13
Panzer Brewery,Тула,4.0,↑ +8,1
One Ton Brewery (Пивоварня Одна Тонна),Тула,4.0,–,1
Augustine (Августин),Тула,3.88,↑ +14,29
Salden's Brewery,Тула,3.82,–,14
Plan B Brewery,Тула,3.75,–,1
Sabotage,Тула,3.75,–,1
Alaska Brewery,Тула,3.75,–,1
Пётр Петрович (Petr Petrovich),Тула,3.69,↓ -6,27
Медоварня Традиции Предков,Тула,3.62,–,2
Jaws Brewery,Тула,3.5,↑ +2,1
RMBrew,Тула,3.5,–,1
Suzdal Brewery (Суздальская Пивоварня),Тула,3.5,–,1
Salden's Brewery,Tula,3.49,–,149
Bakunin Brewing Co.,Тула,3.46,–,6
New Riga's Brewery,Тула,3.38,–,2
Gletcher Brewery (Глетчер),Тула,3.17,↓ -2,3
Baltika Breweries (Балтика),Тула,3.12,↑ +3,2
Konix Brewery,Тула,3.08,–,3
Белый Кремль (Bely Kreml),Тула,3.0,–,1
Velka Morava,Тула,3.0,–,1
Moscow Brewing Company (Московская Пивоваренная Компания),Тула,2.88,↓ -5,6
Schwarz Kaiser Brewery,Тула,2.75,–,1
Heineken Brewery (Объединенные Пивоварни Хейнекен),Тула,2.75,–,2
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Тула,2.5,–,2
Vyatich (Вятич),Тула,2.25,–,1
AB InBev Efes,Тула,1.25,↓ -8,1
Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),Тула,1.0,–,1
Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),Тула,1.0,–,1
Bulgarpivo (Булгарпиво),Тула,0.5,–,1
