НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Double A Brewing,Воронеж,4.5,–,1
Steppe & Wind Meadery (Степь и Ветер),Воронеж,4.33,–,3
Rock'n'Beer,Воронеж,4.25,–,1
Brew Division,Воронеж,4.25,↑ +19,1
Big Village Brewery,Воронеж,4.25,–,18
DaDa Cider,Воронеж,4.25,↑ +2,1
Hophead Brewery,Воронеж,4.23,↑ +9,12
Stamm Brewing,Воронеж,4.1,–,5
Пивоварня Чаща / Thicket Brewery,Воронеж,4.08,↑ +11,3
XP Brew,Воронеж,4.08,–,3
Brewlok Brewery,Воронеж,4.01,–,19
Knightberg,Воронеж,4.0,↓ -10,1
Zagovor Brewery,Воронеж,4.0,–,7
Wild Lab,Воронеж,4.0,–,1
Jaws Brewery,Воронеж,4.0,–,3
BrewT!,Воронеж,4.0,–,1
4BREWERS,Воронеж,3.96,–,12
Nuclear Brewery,Воронеж,3.88,–,2
Selfmade Brewery,Воронеж,3.82,–,17
Red Button Brewery,Воронеж,3.81,–,4
Rewort Brewery,Voronezh,3.75,–,1
CHIBIS Brewery,Воронеж,3.75,↓ -11,3
Paradox,Воронеж,3.75,↓ -22,1
Konix Brewery,Voronezh,3.75,–,1
Brew Fiction,Воронеж,3.75,–,1
AF Brew,Воронеж,3.69,–,4
Salden's Brewery,Воронеж,3.62,–,10
Konix Brewery,Воронеж,3.58,–,3
Dogma,Воронеж,3.5,↑ +8,1
ТАРКОС (TARKOS),Воронеж,3.5,–,1
Hausmann Brewery,Воронеж,3.5,↓ -16,1
Atmosphere Brewery,Воронеж,3.38,–,2
LiS Brew,Воронеж,3.25,↑ +7,6
Plan B Brewery,Воронеж,3.22,–,8
Gletcher Brewery (Глетчер),Воронеж,3.12,–,4
Zavod Trehsosensky (Завод Трехсосенский),Воронеж,3.12,↑ +8,2
Schwarz Kaiser Brewery,Воронеж,3.12,–,2
BANDARLOG Brewery,Воронеж,3.0,–,1
Brewmen,Воронеж,3.0,↓ -4,1
Lux In Tenebris,Воронеж,3.0,–,1
Solbirs Brewery,Воронеж,2.96,↓ -23,7
ТАРКОС BREWLAB,Воронеж,2.5,↓ -8,4
Rewort Brewery,Воронеж,2.21,–,6
Ostrovica,Воронеж,0.0,↓ -40,1
