НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Clute,Ярославль,5.0,–,1
Rocket City Brewery,Ярославль,4.5,–,1
Big Village Brewery,Ярославль,4.25,–,2
Stamm Brewing,Ярославль,4.25,–,1
Bakunin Brewing Co.,Ярославль,4.25,–,1
Cosmic City,Ярославль,4.17,–,3
Black Cat Brewery,Ярославль,4.17,–,3
Alaska Brewery,Ярославль,4.12,–,2
Zagovor Brewery,Ярославль,4.08,–,6
Ame Wild Freaks,Ярославль,4.08,–,3
Wild Lab,Ярославль,4.0,–,2
4BREWERS,Ярославль,3.96,–,6
One Ton Brewery (Пивоварня Одна Тонна),Ярославль,3.88,–,2
Hausmann Brewery,Ярославль,3.88,–,2
Brewlok Brewery,Ярославль,3.83,–,3
Double A Brewing,Ярославль,3.81,↓ -9,4
Red Button Brewery,Ярославль,3.8,–,5
Jaws Brewery,Ярославль,3.8,–,5
Plan B Brewery,Ярославль,3.79,↓ -8,12
Zavod,Ярославль,3.75,–,1
Trigger,Ярославль,3.75,↓ -5,1
GAS Brew,Ярославль,3.75,–,2
Oh No Cidrerie,Ярославль,3.75,–,1
AF Brew,Ярославль,3.67,–,3
Velka Morava,Ярославль,3.67,–,3
Пивоварня Чаща / Thicket Brewery,Ярославль,3.67,–,3
Bottle Share,Ярославль,3.5,↓ -19,3
Gravity Project,Ярославль,3.5,–,1
Panzer Brewery,Ярославль,3.5,↓ -10,2
Symbiotica by AF Brew × BSG,Ярославль,3.5,–,1
Pivot Point,Ярославль,3.42,↓ -19,3
Lux In Tenebris,Ярославль,3.38,↓ -29,2
LiS Brew,Ярославль,2.92,–,3
Medovarus,Ярославль,2.75,–,1
Hophead Brewery,Ярославль,2.75,–,1
Rainbow Fish Brewery,Ярославль,2.75,–,1
Rewort Brewery,Ярославль,2.7,–,5
Courage Brewery,Ярославль,2.62,↓ -29,2
Schwarz Kaiser Brewery,Ярославль,2.19,↓ -22,4
Afanasy (Афанасий),Ярославль,2.0,↓ -20,1
Sabotage,Ярославль,1.42,–,3
Gletcher Brewery (Глетчер),Ярославль,0.0,–,1
