СОРТ ПИВА,ПИВОВАРНЯ,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
G.see Test: HBC 586,XP Brew,0.0,–,3
Stoned Raiders,Wild Lab,0.0,–,1
Strakovice,Varnitsa (Варница),0.0,↑ +1217,1
Juicy Grapefruit,Craft Beer Master,0.0,–,1
Aztecs Pleasures,Victory Art Brew,0.0,–,1
Moskvas  (Москвас),Moscow Brewing Company (Московская Пивоваренная Компания),0.0,–,1
 ВАСИЛЕОСТРОВСКОЕ cветлый фильтрованный лагер / VASILEOSTROVSKOE ligth filtered lager,Vasileostrovskaya Brewery (Василеостровская Пивоварня),0.0,–,1
Encyclopædia. Vol. IV. Wood Series By Cellar Master. BA Macallan 6 M.,DaLi Brewery,0.0,–,1
Säpsü,Snowcap Brewing,0.0,–,1
Липецкое (Lipetskoe),Lipetskpivo (Липецкпиво),0.0,↑ +472,1
Cider Pub Peach,ТПМЗ МёдВедь (ООО Фарт),0.0,–,1
Вена Оригинальное,Baltika Breweries (Балтика),0.0,–,1
Саммер Фест,Dreamteam Brewing Co,0.0,–,1
Voronezhskoe Zhigulevskoe (Воронежское Жигулевское),Baltika Breweries (Балтика),0.0,–,1
Казачий Ус (Ячменный Лагер),Baltika Breweries (Балтика),0.0,–,1
Vanity,Red Button Brewery,0.0,–,1
Sokol Svetloe (Сокол Светлое),AB InBev Efes,0.0,–,1
Brett Saison,Salden's Brewery,0.0,–,1
Провокация,Alaska Brewery,0.0,–,1
Crossover Milk,AF Brew,0.0,–,1
Клинское Чайна Таун,AB InBev Efes,0.0,–,1
Hoppy Skull Dry Stout,Deka (Дека),0.0,–,1
Dubbel Belgian,ALIBI Brewery,0.0,↑ +906,1
Acid Pineapples Fields,Пинта Мёбиуса (Mobius Pint),0.0,–,1
Sour IPA,Konix Brewery,0.0,–,1
Lager,Stamm Brewing,0.0,–,1
Seven Brewers (Семь Пивоваров) Myunhenskoe (Мюнхенское),Varnitsa (Варница),0.0,↑ +482,1
Social Height Club,Time Bomb Brewery,0.0,–,2
Mikser,Brewlok Brewery,0.0,–,1
Хугарден,Vaclav Zamok (Вацлав Замок),0.0,↑ +48,1
Xylophone,Ostrovica,0.0,–,1
Cибирское Премиальное,AB InBev Efes,0.0,↑ +132,1
Blessed Bandit,Time Bomb Brewery,0.0,–,2
