НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Petzold Brewpub,Казань,5.0,↑ +76,1
Brew Division,Казань,4.75,–,1
Jaws Brewery,Kazan,4.5,↑ +38,1
Gletcher Brewery (Глетчер),Kazan,4.5,–,2
Лось и Кедр (Moose & Cedar),Казань,4.5,–,1
Ostrovica,Казань,4.5,↑ +4,1
Медоварня Традиции Предков,Kazan,4.5,↑ +62,1
Yablochny Spas (Яблочный Спас),Kazan,4.5,↑ +24,1
Gorkovskaya Brewery (Горьковская пивоварня),Казань,4.5,–,1
DIETA / ДИЕТА,Kazan,4.31,↓ -4,4
DIETA / ДИЕТА,Казань,4.25,↓ -5,1
Медоварня Традиции Предков,Казань,4.25,↑ +57,2
Steppe & Wind Meadery (Степь и Ветер),Kazan,4.25,–,6
Double A Brewing,Kazan,4.25,–,2
Appleton Ciders,Kazan,4.25,–,1
Oka River,Kazan,4.25,↑ +11,1
Заповедник,Казань,4.25,–,6
Selfmade Brewery,Kazan,4.14,–,9
Samovar Brew,Kazan,4.12,↑ +53,4
Moscow Brewing Company (Московская Пивоваренная Компания),Казань,4.12,↑ +40,2
Zagovor Brewery,Казань,4.06,–,39
4BREWERS,Казань,4.05,–,14
Steppe & Wind Meadery (Степь и Ветер),Казань,4.04,–,14
Wild Lab,Казань,4.02,↑ +16,12
Zagovor Brewery,Kazan,4.02,–,13
Symbiotica by AF Brew × BSG,Казань,4.0,↑ +31,1
Stamm Brewing,Kazan,4.0,↓ -13,2
MANFAS Brewery,Казань,4.0,↑ +23,2
RMBrew,Kazan,4.0,–,1
4BREWERS,Kazan,4.0,–,1
Hausmann Brewery,Kazan,4.0,↓ -18,2
Oka River,Казань,4.0,↓ -5,4
Big Village Brewery,Казань,4.0,–,2
New Riga's Brewery,Kazan,4.0,–,1
Lovecraft Weird Brewery,Казань,4.0,–,1
Salden's Brewery,Казань,3.97,↑ +19,8
Lovecraft Weird Brewery,Kazan,3.94,–,4
Konix Brewery,Казань,3.92,–,9
Panzer Brewery,Kazan,3.92,↑ +17,3
New Riga's Brewery,Казань,3.88,–,2
CHIBIS Brewery,Казань,3.88,–,2
DaDa Cider,Казань,3.88,↓ -31,2
Victory Art Brew,Kazan,3.88,–,2
Selfmade Brewery,Казань,3.88,–,6
Brewlok Brewery,Kazan,3.83,–,3
AF Brew,Kazan,3.82,–,22
XP Brew,Казань,3.81,↑ +2,4
Salden's Brewery,Kazan,3.81,↑ +7,12
Gletcher Brewery (Глетчер),Казань,3.81,–,13
Пивоварня Чаща / Thicket Brewery,Казань,3.77,–,32
CHIBIS Brewery,Kazan,3.75,–,1
Bullevie,Казань,3.75,↑ +15,1
Plan B Brewery,Kazan,3.75,–,5
Токсовская Сидрерия (On The Bones),Казань,3.75,↓ -46,2
AF Brew,Казань,3.72,–,16
Rewort Brewery,Казань,3.71,–,6
Stamm Brewing,Казань,3.67,↓ -43,29
Brew Barrel,Казань,3.65,–,37
ТАРКОС (TARKOS),Казань,3.62,↑ +7,4
Jaws Brewery,Казань,3.62,↓ -19,64
Brewlok Brewery,Казань,3.61,–,9
BANDARLOG Brewery,Казань,3.54,–,24
Sabotage,Kazan,3.53,↑ +18,8
Red Button Brewery,Казань,3.5,↓ -28,2
Bakunin Brewing Co.,Kazan,3.5,↓ -63,2
Paradox,Kazan,3.5,–,1
COVEN Brewery,Казань,3.5,↓ -62,2
Big Village Brewery,Kazan,3.5,–,1
Craab,Казань,3.5,–,1
Sabotage,Казань,3.46,↑ +11,6
Ashram Cider,Kazan,3.42,–,13
Brewmen,Kazan,3.42,–,13
Nuclear Brewery,Казань,3.38,↑ +10,6
BANDARLOG Brewery,Kazan,3.37,–,27
Buket Chuvashii (Букет Чувашии),Казань,3.25,–,3
Brewerich,Казань,3.17,–,12
Bulgarpivo (Булгарпиво),Kazan,3.08,–,3
Konix Brewery,Kazan,3.0,–,2
Та-Та,Казань,3.0,↓ -54,1
Mookhomor Production,Казань,3.0,–,1
NoName Brew,Kazan,3.0,↓ -17,1
Butch & Dutch,Казань,3.0,–,1
Great River,Казань,3.0,–,1
AB InBev Efes,Казань,2.88,↓ -9,2
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Казань,2.83,↓ -7,6
Pivot Point,Казань,2.78,–,8
Hausmann Brewery,Казань,2.77,↓ -74,11
Bulgarpivo (Булгарпиво),Казань,2.75,–,3
Baltika Breweries (Балтика),Казань,2.62,↓ -56,2
Bakunin Brewing Co.,Казань,2.56,↓ -88,4
ТАРКОС BREWLAB,Казань,2.5,–,1
LaBEERint Brewery,Казань,2.5,–,2
Белый Кремль (Bely Kreml),Казань,2.45,↓ -19,10
Hophead Brewery,Казань,2.0,–,1
Poet Brewery&Bar (Поэт – пивоварня и бар),Казань,2.0,–,1
Rewort Brewery,Kazan,1.67,–,3
Zavod,Казань,0.0,↓ -90,1
