НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Double A Brewing,Москва,5.0,–,1
B.B. Craft Brewery,Москва,4.75,–,1
Samovar Brew,Москва,4.53,–,86
Oka River,Moscow,4.42,–,3
GAS Brew,Москва,4.38,↑ +86,8
Double A Brewing,Moscow,4.38,–,2
Hophead Brewery,Moscow,4.33,↑ +43,3
Dog Day Brewery,Москва,4.25,↑ +169,1
Caspary Bräu,Москва,4.25,–,1
Green Street Brewery,Moscow,4.25,–,2
Заповедник,Москва,4.25,↑ +79,4
Oka River,Москва,4.14,–,9
Лось и Кедр (Moose & Cedar),Moscow,4.12,↑ +98,2
4BREWERS,Moscow,4.1,–,5
DIETA / ДИЕТА,Москва,4.1,–,126
Prokhoroff,Москва,4.08,↓ -5,3
Applehead,Moscow,4.08,↑ +165,6
Пивная Диета (Beer Diet),Москва,4.07,–,27
RMBrew,Москва,4.07,–,57
Кафедра Сидра,Москва,4.06,↑ +48,8
Та-Та,Moscow,4.05,↑ +44,26
Snowcap Brewing,Москва,4.04,–,7
Wild Lab,Москва,4.02,–,202
Black Cat Brewery,Москва,4.02,–,241
FFF BREW,Москва,4.0,–,62
RMBrew,Moscow,4.0,–,1
Lovecraft Weird Brewery,Москва,4.0,↑ +6,1
Cosmic City,Москва,4.0,–,2
Bowl Cut Brewery,Москва,4.0,↑ +50,3
Gorilla Brewery,Москва,4.0,↓ -21,1
Объединенные Пензенские Водочные Заводы,Москва,4.0,↑ +187,1
Rustique Pivasique,Москва,4.0,↓ -26,1
Rustique Pivasique,Moscow,4.0,↓ -27,1
DARKSIDE,Москва,4.0,↓ -19,8
Red Button Brewery,Москва,3.97,–,161
Steppe & Wind Meadery (Степь и Ветер),Москва,3.97,↑ +120,17
Oh No Cidrerie,Москва,3.96,–,35
Zagovor Brewery,Moscow,3.95,–,543
Black Cat Brewery,Moscow,3.95,–,15
Big Village Brewery,Moscow,3.94,–,57
HumptyDumpty,Москва,3.94,–,4
FFF BREW,Moscow,3.93,–,18
New Riga's Brewery,Moscow,3.93,–,7
4BREWERS,Москва,3.91,–,233
Ashram Cider,Москва,3.91,↑ +24,105
Stamm Brewing,Москва,3.89,–,473
Selfmade Brewery,Москва,3.88,–,414
DaLi Brewery,Москва,3.88,↓ -22,12
DaDa Cider,Moscow,3.88,–,12
Пивоварня Чаща / Thicket Brewery,Москва,3.87,–,307
