НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Gravity Project,Пермь,5.0,–,1
Red Button Brewery,Пермь,4.5,↑ +23,5
Rewort Brewery,Пермь,4.38,↑ +4,4
DaDa Cider,Пермь,4.38,↑ +20,2
Victory Art Brew,Пермь,4.25,–,1
New Riga's Brewery,Пермь,4.25,↑ +31,3
Голубчик ❋ Golubchik,Пермь,4.25,–,1
LaBEERint Brewery,Пермь,4.25,–,1
Stamm Brewing,Пермь,4.19,↑ +23,30
Steppe & Wind Meadery (Степь и Ветер),Пермь,4.17,↓ -8,13
Zagovor Brewery,Пермь,4.15,↑ +12,51
Big Village Brewery,Пермь,4.15,↑ +8,15
DIETA / ДИЕТА,Пермь,4.06,↓ -10,8
Snowcap Brewing,Пермь,4.03,–,8
Bullevie,Пермь,4.0,↓ -1,2
NoName Brew,Пермь,4.0,–,1
Oka River,Пермь,4.0,↓ -4,1
Пивоварня Чаща / Thicket Brewery,Пермь,4.0,↑ +20,1
Suzdal Brewery (Суздальская Пивоварня),Пермь,4.0,–,1
4BREWERS,Пермь,3.97,↑ +1,24
Selfmade Brewery,Пермь,3.94,↑ +6,9
Wild Lab,Пермь,3.93,–,26
Заповедник,Пермь,3.92,–,3
Paradox,Пермь,3.88,–,2
Zavod,Пермь,3.88,↓ -15,8
Brewlok Brewery,Пермь,3.88,↓ -11,4
Hausmann Brewery,Пермь,3.83,↑ +7,16
Jaws Brewery,Пермь,3.82,↑ +5,10
Alaska Brewery,Пермь,3.81,↓ -17,4
Oh No Cidrerie,Пермь,3.75,–,1
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Пермь,3.75,↓ -13,1
ТАРКОС (TARKOS),Пермь,3.75,–,1
XP Brew,Пермь,3.75,↑ +2,1
AF Brew,Пермь,3.7,↓ -6,59
Applehead,Пермь,3.69,↓ -29,8
Sabotage,Пермь,3.67,↓ -17,66
Пивная Диета (Beer Diet),Пермь,3.67,–,3
Brew Division,Пермь,3.58,–,6
Bottle Share,Пермь,3.38,↓ -28,2
Moscow Brewing Company (Московская Пивоваренная Компания),Пермь,3.25,–,3
Gletcher Brewery (Глетчер),Пермь,3.25,↓ -15,1
Baltika Breweries (Балтика),Пермь,3.05,↑ +3,5
Wolf's Brewery (Волковская Пивоварня),Пермь,3.0,↓ -13,3
Bakunin Brewing Co.,Пермь,3.0,↓ -15,5
Медоварня Традиции Предков,Пермь,3.0,↓ -1,2
Green Street Brewery,Пермь,3.0,–,2
Salden's Brewery,Пермь,2.96,↓ -31,7
Heineken Brewery (Объединенные Пивоварни Хейнекен),Пермь,2.96,↓ -1,6
Gubaha Brewery (Губахинская Пивоварня),Пермь,2.89,↓ -13,7
Vyatich (Вятич),Пермь,2.75,–,1
Pivot Point,Пермь,2.7,–,5
Zavod Trehsosensky (Завод Трехсосенский),Пермь,2.42,↓ -6,3
Ochakovo (Очаково),Пермь,2.25,–,2
Glazovskiy Pivovarennyi Zavod (Глазовский Пивоваренный Завод),Пермь,2.25,–,1
Tomskoe Pivo (Томское Пиво),Пермь,2.0,–,1
Bulgarpivo (Булгарпиво),Пермь,2.0,–,1
Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),Пермь,2.0,–,2
Пивоварня Якорь,Пермь,2.0,–,1
AB InBev Efes,Пермь,1.88,↓ -18,2
Baltika Breweries (Балтика),Perm,1.75,↓ -15,1
Samovar Brew,Пермь,1.5,–,2
