НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Green Street Brewery,Ростов-на-Дону,4.33,↑ +50,3
Sabotage,Ростов-на-Дону,4.18,↑ +6,10
Red Button Brewery,Ростов-на-Дону,4.12,↑ +38,6
Та-Та,Ростов-на-Дону,4.1,↓ -2,10
DIETA / ДИЕТА,Ростов-на-Дону,4.02,↑ +7,11
DaDa Cider,Ростов-на-Дону,4.0,↑ +25,2
Brewmen,Ростов-на-Дону,4.0,↑ +21,8
Gravity Project,Ростов-на-Дону,4.0,–,1
Токсовская Сидрерия (On The Bones),Ростов-на-Дону,4.0,–,4
Plan B Brewery,Ростов-на-Дону,3.97,↑ +12,17
Wild Lab,Ростов-на-Дону,3.89,↑ +5,30
Bakunin Brewing Co.,Ростов-на-Дону,3.88,↑ +23,4
Stamm Brewing,Ростов-на-Дону,3.87,↓ -2,29
Ostrovica,Ростов-на-Дону,3.86,↑ +15,21
Hausmann Brewery,Ростов-на-Дону,3.84,–,19
Brew Fiction,Ростов-на-Дону,3.83,↓ -13,3
Alaska Brewery,Ростов-на-Дону,3.83,↑ +40,3
Selfmade Brewery,Ростов-на-Дону,3.83,↑ +6,3
Brewlok Brewery,Ростов-на-Дону,3.81,↓ -9,28
Zagovor Brewery,Ростов-на-Дону,3.8,↑ +5,32
Пивоварня Чаща / Thicket Brewery,Ростов-на-Дону,3.79,–,6
4BREWERS,Ростов-на-Дону,3.78,↓ -3,22
Пивная Диета (Beer Diet),Ростов-на-Дону,3.75,–,1
Steppe & Wind Meadery (Степь и Ветер),Ростов-на-Дону,3.75,↑ +26,6
NoName Brew,Ростов-на-Дону,3.75,–,1
Panzer Brewery,Ростов-на-Дону,3.75,↑ +23,1
Хадыженский Пивзавод,Ростов-на-Дону,3.75,–,1
Paradox,Ростов-на-Дону,3.75,–,1
AF Brew,Ростов-на-Дону,3.74,↑ +1,47
Black Cat Brewery,Ростов-на-Дону,3.73,↓ -24,12
Big Village Brewery,Ростов-на-Дону,3.71,↓ -11,47
Пивоварня Якорь,Ростов-на-Дону,3.62,↑ +21,2
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Ростов-на-Дону,3.6,↑ +9,5
Konix Brewery,Ростов-на-Дону,3.59,–,8
Salden's Brewery,Ростов-на-Дону,3.58,↓ -9,23
Zavod,Ростов-на-Дону,3.56,↓ -9,4
Brew Division,Ростов-на-Дону,3.5,↓ -4,2
Gorkovskaya Brewery (Горьковская пивоварня),Ростов-на-Дону,3.5,–,1
Symbiotica by AF Brew × BSG,Ростов-на-Дону,3.5,↑ +16,1
Lovecraft Weird Brewery,Ростов-на-Дону,3.41,↓ -35,20
Pivot Point,Ростов-на-Дону,3.25,–,3
Hophead Brewery,Ростов-на-Дону,3.22,↓ -10,8
Victory Art Brew,Ростов-на-Дону,3.12,↓ -6,2
Jaws Brewery,Ростов-на-Дону,3.08,↓ -26,6
COVEN Brewery,Ростов-на-Дону,3.0,↓ -24,1
AB InBev Efes,Ростов-на-Дону,3.0,↓ -7,1
Cider House (ТД Фонте),Ростов-на-Дону,3.0,–,1
Gletcher Brewery (Глетчер),Ростов-на-Дону,3.0,–,1
Rewort Brewery,Ростов-на-Дону,2.7,↓ -6,5
Tihoretsky Pivovarenny Zavod (Тихорецкий Пивоваренный Завод),Ростов-на-Дону,2.5,–,1
Ochakovo (Очаково),Ростов-на-Дону,2.5,–,1
Tomskoe Pivo (Томское Пиво),Ростов-на-Дону,2.5,↑ +6,1
Pivovarenny Zavod Maykopsky (Пивоваренный Завод Майкопский),Ростов-на-Дону,2.0,–,1
Moscow Brewing Company (Московская Пивоваренная Компания),Ростов-на-Дону,0.0,↓ -8,1
Baltika Breweries (Балтика),Ростов-на-Дону,0.0,–,1
