НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Gletcher Brewery (Глетчер),Сергиев Посад,4.0,–,1
Konix Brewery,Сергиев Посад,4.0,–,13
NoName Brew,Сергиев Посад,4.0,–,1
Zagovor Brewery,Сергиев Посад,3.95,↓ -2,43
Red Button Brewery,Сергиев Посад,3.93,↓ -4,24
LiS Brew,Сергиев Посад,3.87,↑ +17,67
Selfmade Brewery,Сергиев Посад,3.83,–,86
Медоварня Традиции Предков,Сергиев Посад,3.82,–,22
Steppe & Wind Meadery (Степь и Ветер),Сергиев Посад,3.76,–,46
GAS Brew,Сергиев Посад,3.76,–,132
Bottle Share,Сергиев Посад,3.75,↓ -5,46
Hophead Brewery,Сергиев Посад,3.75,↑ +4,1
Ostrovica,Сергиев Посад,3.69,↓ -1,49
Vodolaz Brewery,Сергиев Посад,3.69,–,51
BrewT!,Сергиев Посад,3.67,–,43
Rewort Brewery,Сергиев Посад,3.63,↓ -6,81
Nuclear Brewery,Сергиев Посад,3.6,–,30
4BREWERS,Сергиев Посад,3.59,–,103
Brewlok Brewery,Сергиев Посад,3.57,↓ -6,71
Лось и Кедр (Moose & Cedar),Сергиев Посад,3.55,↓ -16,28
Rustique Pivasique,Сергиев Посад,3.51,–,35
Rocket City Brewery,Сергиев Посад,3.49,–,55
Knightberg,Сергиев Посад,3.49,↓ -3,18
COVEN Brewery,Сергиев Посад,3.47,–,49
Plan B Brewery,Сергиев Посад,3.46,↓ -11,7
Solbirs Brewery,Сергиев Посад,3.44,–,47
Victory Art Brew,Сергиев Посад,3.42,–,12
Пивоварня Чаща / Thicket Brewery,Сергиев Посад,3.41,–,49
Cider House (ТД Фонте),Сергиев Посад,3.4,↓ -11,5
Cosmic City,Сергиев Посад,3.4,–,58
Zavod,Сергиев Посад,3.37,–,29
Brew Fiction,Сергиев Посад,3.33,–,15
Hammermill Brewery (Бутлегер),Сергиев Посад,3.33,–,9
LaBEERint Brewery,Сергиев Посад,3.33,–,25
Rock'n'Beer,Сергиев Посад,3.29,–,23
Beer Bros Brewery,Сергиев Посад,3.25,–,16
Landau Beerlab,Сергиев Посад,3.25,↓ -13,18
CHIBIS Brewery,Сергиев Посад,3.25,–,24
MainStream Brewery,Сергиев Посад,3.2,–,20
Los Pivnos Brewery,Сергиев Посад,3.19,–,21
Borderless brewery,Сергиев Посад,3.17,–,6
Heartly Brewery,Сергиев Посад,3.17,–,6
RMBrew,Сергиев Посад,3.17,–,36
Panzer Brewery,Сергиев Посад,3.11,↓ -22,9
SVOI Brewing,Сергиев Посад,3.09,↓ -24,14
Mager Brewery,Сергиев Посад,3.0,–,1
Мастер-Продукт-Алтай (Master-Product-Altay),Сергиев Посад,3.0,–,1
Jaws Brewery,Сергиев Посад,3.0,↓ -41,1
Ochakovo (Очаково),Сергиев Посад,3.0,–,1
Buket Chuvashii (Букет Чувашии),Сергиев Посад,3.0,–,1
Green Basement Brewery,Сергиев Посад,2.97,–,31
Pivot Point,Сергиев Посад,2.95,–,19
Hops Farm Brewery,Сергиев Посад,2.8,–,5
Salden's Brewery,Сергиев Посад,2.56,↓ -39,25
Baltika Breweries (Балтика),Сергиев Посад,2.0,–,2
Hmeleff (Хмелефф),Сергиев Посад,2.0,–,1
