НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Hophead Brewery,Ярославль,4.47,↑ +43,8
Victory Art Brew,Ярославль,4.25,↑ +47,1
Red Button Brewery,Ярославль,4.17,↑ +6,3
Gravity Project,Ярославль,4.12,–,2
4BREWERS,Ярославль,4.12,↑ +5,10
XP Brew,Ярославль,4.06,↑ +22,4
GUSI,Ярославль,4.0,–,1
Hausmann Brewery,Ярославль,4.0,–,1
Varyag Brewery (Пивоварня Варяг),Ярославль,4.0,–,2
Circada,Ярославль,4.0,↓ -9,1
Zagovor Brewery,Ярославль,3.97,↑ +1,8
LiS Brew,Ярославль,3.96,↑ +8,6
Lux In Tenebris,Ярославль,3.94,↑ +23,4
Stamm Brewing,Ярославль,3.88,↑ +2,2
Sabotage,Ярославль,3.88,↑ +8,2
Plan B Brewery,Ярославль,3.85,↑ +11,92
Panzer Brewery,Ярославль,3.83,↑ +25,3
Пивоварня Чаща / Thicket Brewery,Ярославль,3.77,↑ +13,13
Big Village Brewery,Ярославль,3.77,↑ +5,15
Velka Morava,Ярославль,3.75,↑ +26,2
Та-Та,Ярославль,3.75,–,2
NoName Brew,Ярославль,3.75,–,1
Alaska Brewery,Ярославль,3.75,↓ -19,2
Zavod,Ярославль,3.75,↑ +23,1
Jaws Brewery,Ярославль,3.75,↓ -12,10
Rewort Brewery,Ярославль,3.71,↑ +7,7
Snowcap Brewing,Ярославль,3.62,–,2
Ostrovica,Ярославль,3.62,↓ -6,2
Black Cat Brewery,Ярославль,3.6,↑ +8,5
Schwarz Kaiser Brewery,Ярославль,3.58,↓ -4,6
Лось и Кедр (Moose & Cedar),Ярославль,3.56,↑ +7,4
AF Brew,Ярославль,3.56,↓ -15,9
BEERMANBRU,Ярославль,3.5,–,1
Appleton Ciders,Ярославль,3.5,↓ -32,1
Bakunin Brewing Co.,Ярославль,3.5,↓ -6,1
Seven Hills Brewing Co.,Ярославль,3.5,↑ +14,1
Selfmade Brewery,Ярославль,3.5,↓ -23,10
Augustine (Августин),Ярославль,3.3,↑ +16,5
Rocket City Brewery,Ярославль,3.3,↓ -9,27
Salden's Brewery,Ярославль,3.25,↓ -15,1
ID Brewery,Ярославль,3.19,↑ +2,13
Brewlok Brewery,Ярославль,3.06,↓ -27,9
CHIBIS Brewery,Ярославль,3.0,↑ +5,4
Wolf's Brewery (Волковская Пивоварня),Ярославль,3.0,↑ +11,1
Brewmen,Ярославль,3.0,↓ -4,3
Clute,Ярославль,2.94,↓ -1,4
Baltika Breweries (Балтика),Ярославль,2.67,↑ +12,3
LaBEERint Brewery,Ярославль,2.33,–,3
Moscow Brewing Company (Московская Пивоваренная Компания),Ярославль,2.25,↓ -17,1
AB InBev Efes,Ярославль,2.19,–,4
Knightberg,Ярославль,1.92,↓ -44,3
DaDa Cider,Ярославль,0.0,–,1
Gorkovskaya Brewery (Горьковская пивоварня),Ярославль,0.0,↑ +7,1
