НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Sabotage,Yekaterinburg,4.35,–,5
Red Button Brewery,Yekaterinburg,4.25,–,12
4BREWERS,Екатеринбург,4.25,↑ +19,3
DIETA / ДИЕТА,Екатеринбург,4.25,↑ +14,2
Bottle Share,Екатеринбург,4.25,–,3
Double A Brewing,Yekaterinburg,4.25,↑ +3,2
Wild Lab,Yekaterinburg,4.25,–,2
FFF BREW,Екатеринбург,4.19,–,4
Alaska Brewery,Екатеринбург,4.17,–,3
Та-Та,Yekaterinburg,4.17,↓ -7,3
Selfmade Brewery,Yekaterinburg,4.14,–,7
Zagovor Brewery,Yekaterinburg,4.14,–,11
Wild Lab,Екатеринбург,4.06,–,4
AF Brew,Yekaterinburg,4.04,–,6
Steppe & Wind Meadery (Степь и Ветер),Екатеринбург,4.03,–,8
Stamm Brewing,Yekaterinburg,4.02,–,12
Big Village Brewery,Yekaterinburg,4.0,–,4
NoName Brew,Yekaterinburg,4.0,–,1
DaDa Cider,Екатеринбург,4.0,–,4
Zagovor Brewery,Екатеринбург,3.96,–,40
Dogma,Екатеринбург,3.95,↓ -17,5
Hausmann Brewery,Yekaterinburg,3.95,–,5
Circada,Екатеринбург,3.93,–,11
Black Cat Brewery,Yekaterinburg,3.9,↓ -7,5
Токсовская Сидрерия (On The Bones),Yekaterinburg,3.9,–,10
Paradox,Екатеринбург,3.9,–,10
Konix Brewery,Екатеринбург,3.88,↑ +18,2
Токсовская Сидрерия (On The Bones),Екатеринбург,3.88,–,4
Plan B Brewery,Yekaterinburg,3.87,↓ -24,17
Green Street Brewery,Екатеринбург,3.83,↑ +10,6
Jaws Brewery,Екатеринбург,3.82,↑ +5,58
XP Brew,Екатеринбург,3.81,–,18
NoName Brew,Екатеринбург,3.81,–,9
Sabotage,Екатеринбург,3.78,–,18
Та-Та,Екатеринбург,3.76,↓ -32,19
Пивоварня Чаща / Thicket Brewery,Yekaterinburg,3.75,–,3
Ostrovica,Екатеринбург,3.72,–,59
Plan B Brewery,Екатеринбург,3.71,↓ -33,6
Melody Brew,Екатеринбург,3.67,↓ -6,6
Bakunin Brewing Co.,Екатеринбург,3.66,↑ +18,16
AF Brew,Екатеринбург,3.65,–,26
Panzer Brewery,Екатеринбург,3.62,↓ -40,2
Selfmade Brewery,Екатеринбург,3.58,–,18
Stamm Brewing,Екатеринбург,3.58,–,35
GUSI,Екатеринбург,3.56,↑ +15,4
RED COOPER,Екатеринбург,3.55,↑ +9,5
Circada,Yekaterinburg,3.5,–,2
MANFAS Brewery,Yekaterinburg,3.5,–,1
Crazy Brew,Екатеринбург,3.5,–,2
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Екатеринбург,3.5,–,1
Ostrovica,Yekaterinburg,3.48,–,14
Big Village Brewery,Екатеринбург,3.48,–,45
Hausmann Brewery,Екатеринбург,3.46,–,21
Red Button Brewery,Екатеринбург,3.45,–,5
Zavod,Yekaterinburg,3.33,–,3
Пивоварня Vaer,Екатеринбург,3.25,↑ +15,2
Nuclear Brewery,Екатеринбург,3.25,↓ -31,1
Bottle Share,Yekaterinburg,3.17,–,3
ТАРКОС (TARKOS),Екатеринбург,3.12,↑ +6,6
Gorkovskaya Brewery (Горьковская пивоварня),Екатеринбург,3.12,–,2
Salden's Brewery,Екатеринбург,3.1,↓ -15,10
Pivot Point,Екатеринбург,3.1,↓ -9,5
Vyatich (Вятич),Екатеринбург,3.0,–,1
MainStream Brewery,Екатеринбург,3.0,–,1
Wolf's Brewery (Волковская Пивоварня),Екатеринбург,3.0,↑ +1,1
Hophead Brewery,Екатеринбург,3.0,↑ +3,3
COVEN Brewery,Екатеринбург,3.0,↓ -13,1
Gletcher Brewery (Глетчер),Екатеринбург,2.8,↓ -29,5
Пивоварня Якорь,Екатеринбург,2.75,–,1
Пивоварня Чаща / Thicket Brewery,Екатеринбург,2.75,–,9
Black Cat Brewery,Екатеринбург,2.62,↓ -54,2
Brewmen,Екатеринбург,2.62,↓ -28,94
ID Jons,Екатеринбург,2.0,↓ -72,1
Zavod Trehsosensky (Завод Трехсосенский),Екатеринбург,2.0,↓ -2,1
Brewlok Brewery,Екатеринбург,1.88,↓ -50,22
Heineken Brewery (Объединенные Пивоварни Хейнекен),Екатеринбург,0.0,–,1
MANFAS Brewery,Екатеринбург,0.0,–,1
